Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,2919387.0687636365,64972.92055846411,704279.6268524763,108.108913
aurora,0.0,127211.90110524431,65911.39306544878,0
avax,620590.8055980366,40905.444271099084,474335.02181790554,49.154991
base,126142.81450789835,1883.6430816716995,15835.840023078512,0.0
boba,66091.25563996108,157627.19381925213,66748.19681351965,0
bsc,533.9752134137678,240826.7455319994,379997.0186040668,0
canto,0.0,168138.80447857315,12354.061724429499,0
cronos,0.0,27011.44028410748,2756.4732899100018,0
dfk,0.0,0.0,0,0
dogechain,0.0,7250.515884268596,0,0
ethereum,11211297.555571655,42027.087082463426,100.78156607778777,0
fantom,194853.76835951954,28382.385929710617,0.05803335591263984,0
harmony,12939.121927399596,74.911014623988,0.4565679449566675,0
metis,251696.36492341783,37340.349632455334,17465.808267053573,0
moonbeam,0.0,659.1425350531531,0,0
moonriver,0.0,511.3557528087047,0,0
optimism,701869.4313594346,471460.32470996375,105978.48711981623,2998.417991
polygon,0.0,0.0,0,0
klaytn,0.0,94672.45262050105,0,0
